"Range Name","fe__draw_count.sum","fe__draw_count.sum.peak_sustained","fe__draw_count.sum.per_second","fe__draw_count.avg","fe__draw_count.avg.per_cycle_elapsed","fe__draw_count.avg.per_second","fe__draw_count.avg.pct_of_peak_sustained_elapsed","fe__draw_count.avg.peak_sustained","fe__output_ops_cmd_go_idle.sum","fe__output_ops_cmd_go_idle.sum.peak_sustained","fe__output_ops_cmd_go_idle.sum.per_second","fe__output_ops_cmd_go_idle.avg","fe__output_ops_cmd_go_idle.avg.per_cycle_elapsed","fe__output_ops_cmd_go_idle.avg.per_second","fe__output_ops_cmd_go_idle.avg.pct_of_peak_sustained_elapsed","fe__output_ops_cmd_go_idle.avg.peak_sustained","gpu__time_duration.sum","gpu__time_duration.sum.peak_sustained","gpu__time_duration.sum.per_second","gpu__time_duration.avg","gpu__time_duration.avg.per_cycle_elapsed","gpu__time_duration.avg.per_second","gpu__time_duration.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.avg.peak_sustained","gr__cycles_active.sum","gr__cycles_active.sum.peak_sustained","gr__cycles_active.sum.per_second","gr__cycles_active.avg","gr__cycles_active.avg.per_cycle_elapsed","gr__cycles_active.avg.per_second","gr__cycles_active.avg.pct_of_peak_sustained_elapsed","gr__cycles_active.avg.peak_sustained","gr__dispatch_count.sum","gr__dispatch_count.sum.peak_sustained","gr__dispatch_count.sum.per_second","gr__dispatch_count.avg","gr__dispatch_count.avg.per_cycle_elapsed","gr__dispatch_count.avg.per_second","gr__dispatch_count.avg.pct_of_peak_sustained_elapsed","gr__dispatch_count.avg.peak_sustained","pda__input_prims.sum","pda__input_prims.sum.peak_sustained","pda__input_prims.sum.per_second","pda__input_prims.avg","pda__input_prims.avg.per_cycle_elapsed","pda__input_prims.avg.per_second","pda__input_prims.avg.pct_of_peak_sustained_elapsed","pda__input_prims.avg.peak_sustained","prop__prop2crop_pixels_realtime.sum","prop__prop2crop_pixels_realtime.sum.peak_sustained","prop__prop2crop_pixels_realtime.sum.per_second","prop__prop2crop_pixels_realtime.avg","prop__prop2crop_pixels_realtime.avg.per_cycle_elapsed","prop__prop2crop_pixels_realtime.avg.per_second","prop__prop2crop_pixels_realtime.avg.pct_of_peak_sustained_elapsed","prop__prop2crop_pixels_realtime.avg.peak_sustained","prop__prop2zrop_pixels_realtime.sum","prop__prop2zrop_pixels_realtime.sum.peak_sustained","prop__prop2zrop_pixels_realtime.sum.per_second","prop__prop2zrop_pixels_realtime.avg","prop__prop2zrop_pixels_realtime.avg.per_cycle_elapsed","prop__prop2zrop_pixels_realtime.avg.per_second","prop__prop2zrop_pixels_realtime.avg.pct_of_peak_sustained_elapsed","prop__prop2zrop_pixels_realtime.avg.peak_sustained","crop__throughput.avg.pct_of_peak_sustained_elapsed","dram__throughput.avg.pct_of_peak_sustained_elapsed","l1tex__throughput.avg.pct_of_peak_sustained_elapsed","lts__throughput.avg.pct_of_peak_sustained_elapsed","pcie__throughput.avg.pct_of_peak_sustained_elapsed","pda__throughput.avg.pct_of_peak_sustained_elapsed","pes__throughput.avg.pct_of_peak_sustained_elapsed","prop__throughput.avg.pct_of_peak_sustained_elapsed","raster__throughput.avg.pct_of_peak_sustained_elapsed","sm__throughput.avg.pct_of_peak_sustained_elapsed","vaf__throughput.avg.pct_of_peak_sustained_elapsed","vpc__throughput.avg.pct_of_peak_sustained_elapsed","zrop__throughput.avg.pct_of_peak_sustained_elapsed",
"Frame",15,1,1529.49,15,1.3689e-06,1529.49,0.00013689,1,0,1,0,0,0,0,0,1,9.8072e+06,10,1e+09,9.8072e+06,0.895008,1e+09,8.95008,10,1.05814e+07,1,1.07894e+09,1.05814e+07,0.965657,1.07894e+09,96.5657,1,1,1,101.966,1,9.12603e-08,101.966,9.12603e-06,1,1.93896e+07,16,1.97708e+09,1.93896e+07,1.7695,1.97708e+09,11.0594,16,1.45738e+07,48,1.48603e+09,4.85793e+06,0.375505,4.95343e+08,2.34691,16,1.10652e+07,192,1.12827e+09,3.68841e+06,0.285104,3.76091e+08,0.445475,64,11.8838,11.2518,8.48302,23.7956,7.56307,11.0594,0,7.93637,14.4557,16.3314,0.0463517,23.2729,17.185,
"Frame/GrassDraw",2,1,715.758,2,6.40726e-07,715.758,6.40726e-05,1,0,1,0,0,0,0,0,1,2.79424e+06,10,1e+09,2.79424e+06,0.895171,1e+09,8.95171,10,3.12146e+06,1,1.1171e+09,3.12146e+06,1,1.1171e+09,100,1,0,1,0,0,0,0,0,1,1.93558e+07,16,6.92702e+09,1.93558e+07,6.20087,6.92702e+09,38.7554,16,7.40736e+06,48,2.65094e+09,2.46912e+06,0.670617,8.83646e+08,4.19136,16,9.24224e+06,192,3.3076e+09,3.08075e+06,0.836736,1.10253e+09,1.3074,64,33.5539,20.4965,27.2201,69.5786,8.51737,38.7554,0,22.517,46.3212,53.6271,0,81.4472,51.7689,
